idx,announcement_id,category_large,title,ext,label_26class,confidence,label_19class,exclude_reason,note
18,PBLN_000000000121165,수출,2026년 제주항 화물유치 지원사업 참여업체 모집 변경 공고,hwpx,수출물류,중간,수출물류,,대상이 화주·선사라 기업 지원 성격 약함
19,PBLN_000000000120238,수출,[울산] 2026년 중소기업 해외지사화 사업 참가기업 모집 공고,hwp,판로,중간,판로,,해외지사화 참가비 80%
20,PBLN_000000000124341,수출,2026년 하반기 온라인 K-SEAFOOD 판매 전용관 운영 사업 입점 제품 모집 공고,hwp,판로,높음,판로,,아마존·쇼피 입점
21,PBLN_000000000117240,수출,[전남] 2026년 소량수출 국제특송비 지원계획 공고,hwp,수출물류,높음,수출물류,,EMS 물류비 50%
22,PBLN_000000000117502,수출,[경기] 부천시 2026년 EMS 수출물류비 지원사업 참가기업 모집 공고,hwp,수출물류,높음,수출물류,,EMS 물류비 80%
23,PBLN_000000000119588,수출,[제주] 2026년 해외시장조사서비스 및 해외비지니스 출장 지원사업 참가업체 모집 공고,hwp,판로,중간,판로,,KOTRA 바이어 발굴
24,PBLN_000000000125068,수출,[경기] 수원시 2026년 국외 박람회 개별참가 지원사업 참가 기업 모집 공고,hwp,판로,높음,판로,,박람회 부스임차료
25,PBLN_000000000121681,내수,[광주] 2026년 첫걸음입점 광주소상공인 지원사업 참여 소상공인 모집 공고,hwp,판로,높음,판로,,온라인 플랫폼 입점
26,PBLN_000000000125206,내수,[경기] 성남시 2026년 유관기관 협력 지원(오아시스마켓) 참가기업 모집 공고,hwp,판로,높음,판로,,오아시스마켓 입점
27,PBLN_000000000125348,내수,[전북] 2026년 하반기 전북해양수산창업투자지원센터 국내박람회 참여기업 통합 모집 공고,hwp,판로,높음,판로,,국내박람회 참가
28,PBLN_000000000125249,내수,[경남] 창원시 제12회 창원음식문화축제 홍보판매 및 체험부스 참가업소 모집 공고,hwpx,판로,중간,판로,,축제 홍보판매 부스
29,PBLN_000000000117357,내수,[전북] 2026년 중소기업 온라인 플랫폼 판매지원 온라인 유통채널 연계 프로모션 참여 기업 상시 모집 공고,hwp,판로,높음,판로,,온라인 유통채널 프로모션
30,PBLN_000000000123810,내수,2026년 물산업 벤처ㆍ창업기업 공공조달 진출 지원을 위한 벤처나라제품 발굴 및 추천 지원 공고,hwp,판로,중간,판로,,공공조달 벤처나라 등록 추천
31,PBLN_000000000121247,창업,[전남] 2026년 3D프린팅 모형설계 및 후가공 수혜기업 모집 공고,hwp,사업화,중간,사업화,,3D프린팅 시제품 제작
32,PBLN_000000000119107,창업,[전남] 2026년 IP(지식재산) 디딤돌 프로그램 (권리화 지원사업) 지원대상 모집 공고,hwp,기술·IP평가,중간,기술·IP평가,,IP 권리화
33,PBLN_000000000120946,창업,2026년 전남 창업BuS 프로그램 창업기업 모집 공고,hwp,창업보육,높음,창업보육,,창업기업 인큐베이팅
34,PBLN_000000000120681,창업,[전남] 2026년 IP(지식재산) 디딤돌 프로그램 후속지원사업 지원대상 모집 공고,hwp,기술·IP평가,중간,기술·IP평가,,특허망·디자인 후속지원
35,PBLN_000000000117287,인력,[경남] 하동군 2026년 소상공인 건강검진 지원사업 공고,hwp,기타지원,낮음,,대상밖-개인복지,소상공인 개인 건강검진비 20만원
36,PBLN_000000000124706,인력,[전남광주] 2026년 청년 희망 일자리 지원사업 참여기업 모집 재공고,hwp,고용보조,높음,고용보조,,청년 일자리 지원
37,PBLN_000000000125202,인력,[경남] 거제시 2026년 3차 노동자 휴게시설 지원사업 재공고,hwpx,설비,중간,설비,,휴게시설 신설·냉난방기 최대 500만원
38,PBLN_000000000125392,인력,[경남] 하남시 2026년 제2회 청년 채용 ZONE 참여기업 모집 연장 공고,hwpx,기타지원,낮음,고용보조,,재배정: 구인-구직 매칭 행사
39,PBLN_000000000124762,인력,[대구] 2026년 4차 대경 이음 미래모빌리티 일자리고도화 수혜기업 모집 공고(지역산업맞춤형 일자리지원사업 대경권 광역이음프로젝트),hwp,고용보조,중간,고용보조,,일자리고도화
40,PBLN_000000000117597,금융,[강원] 태백시 2026년 소상공인 특례보증ㆍ이차보전 지원 계획 공고,hwp,융자,높음,융자,,특례보증·이차보전
41,PBLN_000000000117498,금융,[충남]  공주시 2026년 소상공인 특례보증 지원계획 공고,hwp,융자,높음,융자,,특례보증
42,PBLN_000000000117965,금융,[경기] 수원시 2026년 중소기업 동행지원 사업계획 공고,hwp,융자,높음,융자,,중소기업 동행지원
43,PBLN_000000000117214,금융,[경북] 2026년 중소기업 운전자금(이차보전) 지원 계획 공고,hwp,융자,높음,융자,,운전자금 이차보전
44,PBLN_000000000117576,금융,[충북] 괴산군 2026년 저신용 소상공인 대출이자 지원사업 공고,hwp,융자,높음,융자,,대출이자 지원
45,PBLN_000000000125352,금융,[경남] 2026년 하반기 식품진흥기금 융자금 지원계획 공고,hwpx,융자,높음,융자,,식품진흥기금 융자
46,PBLN_000000000118210,금융,2026년 리스크안전망 구축 지원업체 모집 공고,hwp,기타지원,낮음,보증,,재배정: 수출보험·신용보증 가입비
47,PBLN_000000000092578,기타,영세개인사업자의 체납액 징수특례 제도 안내,hwp,기타지원,낮음,,대상밖-비지원,세금 체납 분납 — 금전 지원 아님
48,PBLN_000000000123696,기타,[대구] 2026년 노동존중 기업 모집 공고,hwp,자격인증,중간,,컷오프미달,자격인증 학습 8건 < MIN_SUPPORT 10
49,PBLN_000000000125217,기타,2026년 민관 공동 전략형 상생협력사업 (창의트랙사업) 추가모집 공고,hwp,기타지원,낮음,,대상밖-복합,지식확산·ESG 등 복합 과제
50,PBLN_000000000117800,기타,[전남] 2026년 청년기업 인증 계획 공고,hwp,자격인증,높음,,컷오프미달,자격인증 학습 8건 < MIN_SUPPORT 10
